,CE_Symbol / PE_Symbol ,CE_entry_time / PE_entry_time,CE_entry_price,PE_entry_price,PE_exit_time,PE_exit_price,CE_exit_time,CE_exit_price,PnL,PnL Cumulative Sum,Equity,Rate Of Return,Drawdown,Month-Year
0,BANKNIFTY2011631800CE / BANKNIFTY2011631800PE,2020-01-15 09:20:00,200.3,130.9,2020-01-15 09:34:00,160.9,2020-01-15 15:15:00,189.85,-488.74999999999886,5624.999999999999,405625.0,-0.1221874999999997,-488.7499999999991,2020-01-15 09:20:00
0,BANKNIFTY2011632000CE / BANKNIFTY2011632000PE,2020-01-16 09:20:00,69.15,105.95,2020-01-16 10:21:00,135.95,2020-01-16 15:15:00,0.05,977.5000000000006,6602.5,406602.5,0.24437500000000015,0.0,2020-01-16 09:20:00
0,BANKNIFTY2012331600CE / BANKNIFTY2012331600PE,2020-01-17 09:20:00,314.1,268.55,2020-01-17 09:33:00,298.55,2020-01-17 09:41:00,314.1,-749.9999999999986,5852.500000000002,405852.5,-0.18749999999999967,-749.9999999999982,2020-01-17 09:20:00
0,BANKNIFTY2012331700CE / BANKNIFTY2012331700PE,2020-01-20 09:20:00,262.75,232.95,2020-01-20 09:23:00,262.95,2020-01-20 15:15:00,69.55,4079.9999999999995,9932.500000000002,409932.5,1.0199999999999998,0.0,2020-01-20 09:20:00
0,BANKNIFTY2012330900CE / BANKNIFTY2012330900PE,2020-01-21 09:20:00,251.85,218.6,2020-01-21 15:15:00,157.7,2020-01-21 09:21:00,281.85,772.4999999999994,10705.000000000002,410705.0,0.19312499999999985,0.0,2020-01-21 09:20:00
0,BANKNIFTY2012331100CE / BANKNIFTY2012331100PE,2020-01-22 09:20:00,190.8,152.75,2020-01-22 09:27:00,182.75,2020-01-22 15:15:00,30.8,3250.0,13955.000000000002,413955.0,0.8125,0.0,2020-01-22 09:20:00
0,BANKNIFTY2012330800CE / BANKNIFTY2012330800PE,2020-01-23 09:20:00,79.85,123.5,2020-01-23 15:15:00,0.25,2020-01-23 09:22:00,109.85,2331.25,16286.250000000002,416286.25,0.5828125,0.0,2020-01-23 09:20:00
0,BANKNIFTY20JAN30900CE / BANKNIFTY20JAN30900PE,2020-01-24 09:20:00,322.75,244.9,2020-01-24 15:15:00,100.95,2020-01-24 09:30:00,352.75,2848.7499999999995,19135.0,419135.0,0.7121874999999999,0.0,2020-01-24 09:20:00
0,BANKNIFTY20JAN31100CE / BANKNIFTY20JAN31100PE,2020-01-27 09:20:00,225.0,274.6,2020-01-27 09:21:00,304.6,2020-01-27 09:36:00,225.0,-750.0,18385.0,418385.0,-0.1875,-750.0,2020-01-27 09:20:00
0,BANKNIFTY20JAN30800CE / BANKNIFTY20JAN30800PE,2020-01-28 09:20:00,242.0,228.75,2020-01-28 14:50:00,228.75,2020-01-28 09:25:00,272.0,-750.0,17635.0,417635.0,-0.1875,-1500.0,2020-01-28 09:20:00
0,BANKNIFTY20JAN30900CE / BANKNIFTY20JAN30900PE,2020-01-29 09:20:00,197.5,148.0,2020-01-29 09:34:00,178.0,2020-01-29 09:42:00,197.5,-750.0,16885.0,416885.0,-0.1875,-2250.0,2020-01-29 09:20:00
0,BANKNIFTY20JAN30800CE / BANKNIFTY20JAN30800PE,2020-01-30 09:20:00,76.1,117.2,2020-01-30 09:34:00,147.2,2020-01-30 15:15:00,0.15,1148.7500000000005,18033.75,418033.75,0.2871875000000001,-1101.25,2020-01-30 09:20:00
0,BANKNIFTY2020630800CE / BANKNIFTY2020630800PE,2020-01-31 09:20:00,530.15,464.9,2020-01-31 09:50:00,464.9,2020-01-31 09:22:00,560.15,-750.0,17283.75,417283.75,-0.1875,-1851.25,2020-01-31 09:20:00
0,BANKNIFTY2020630700CE / BANKNIFTY2020630700PE,2020-02-01 09:20:00,490.0,529.7,2020-02-01 12:53:00,529.7,2020-02-01 09:23:00,520.0,-750.0,16533.75,416533.75,-0.1875,-2601.25,2020-02-01 09:20:00
0,BANKNIFTY2020629800CE / BANKNIFTY2020629800PE,2020-02-03 09:20:00,335.8,335.0,2020-02-03 09:23:00,335.0,2020-02-03 09:21:00,365.8,-750.0000000000014,15783.749999999998,415783.75,-0.18750000000000033,-3351.250000000002,2020-02-03 09:20:00
